國文,英文,數學,社會,自然
7,10,7,10,11
8,7,10,9,9
8,8,7,6,12
7,13,10,11,9
10,12,10,11,11
9,7,8,8,14
15,13,9,14,14
9,6,13,12,7
11,14,12,7,10
9,8,10,15,10
11,9,10,8,10
13,13,8,12,15
8,12,15,12,15
12,7,13,13,8
9,13,14,11,10
8,14,9,12,8
15,13,13,14,8
9,13,10,15,9
14,11,7,15,15
12,15,14,11,11
10,13,14,10,8
9,13,9,6,14
13,12,8,9,6
9,15,15,12,12
9,7,13,8,7
8,14,12,13,15
9,12,7,8,10
8,8,13,14,10
8,13,9,6,8
9,8,7,15,15
10,7,6,14,8
9,8,6,13,11
9,9,10,7,10
11,15,10,13,6
7,11,15,6,13
10,14,6,10,6
14,12,11,6,7
7,11,8,12,12
14,8,8,14,13
7,12,13,15,11
8,6,11,7,14
6,15,15,12,12
14,11,9,7,6
14,9,13,14,8
13,12,10,10,14
9,12,11,10,8
12,10,15,10,14
14,7,11,11,8
11,10,7,6,13
15,11,7,14,14
11,6,9,14,15
6,13,12,15,6
9,9,11,10,12
12,9,12,7,9
7,9,15,7,6
12,12,9,6,11
14,13,10,14,14
9,9,13,12,10
9,14,14,7,8
6,10,6,10,15
14,13,14,7,10
10,15,13,11,9
9,9,11,9,15
11,11,14,14,11
11,12,11,8,7
10,15,12,10,14
8,12,12,6,6
8,13,6,11,12
15,9,8,15,6
9,7,13,14,14
12,15,7,8,14
15,9,14,10,15
13,9,13,15,8
6,9,12,7,13
11,10,7,7,10
14,7,6,12,12
12,14,11,9,14
12,8,15,11,10
10,15,7,13,9
6,14,8,14,12
10,9,7,8,6
9,7,10,10,6
7,10,8,12,10
6,14,8,14,9
13,8,15,14,14
6,14,6,7,12
10,9,7,6,6
8,9,15,8,11
13,13,6,8,7
11,15,11,6,11
11,13,12,6,9
12,10,9,15,6
9,9,13,13,9
13,8,9,13,13
8,13,10,15,14
9,13,10,10,15
14,9,12,15,11
15,15,14,6,10
6,11,14,8,7
6,12,11,15,10
